"Estado","Tasa*","Total","Ene","Feb","Mar","Abr","MesMay","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","1.99","10","1","0","0","0","0","0","0","3","1","0","1","4"
"Campeche","11.99","93","4","4","2","3","8","9","13","16","15","13","4","2"
"Coahuila","4.72","120","0","0","0","0","0","0","0","1","12","70","35","2"
"Colima","61.22","362","0","0","0","10","24","30","31","56","83","78","42","8"
"Chiapas","37.90","1 674","22","8","6","15","31","126","331","360","369","305","89","12"
"Chihuahua","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","31.04","1 012","11","12","13","40","70","60","35","137","216","211","169","38"
"Hidalgo","28.75","687","1","0","0","0","1","1","17","85","251","261","65","5"
"Jalisco","1.29","88","1","0","0","0","1","1","2","3","11","32","27","10"
"México","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michoacán","0.88","37","0","2","5","4","0","3","1","5","1","3","13","0"
"Morelos","13.34","229","0","2","2","1","40","27","20","20","32","49","32","4"
"Nayarit","40.90","408","21","20","12","3","3","3","10","40","74","78","123","21"
"Nuevo León","12.19","517","0","1","1","3","4","4","6","68","179","238","13","0"
"Oaxaca","27.42","1 019","3","0","1","8","12","40","98","155","197","214","189","102"
"Puebla","0.90","50","0","0","0","0","0","0","0","0","43","3","1","3"
"Querétaro","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","60.93","665","19","11","12","13","32","53","93","161","103","74","74","20"
"San Luis Potosí","7.01","169","0","0","0","0","0","1","6","40","70","42","10","0"
"Sinaloa","23.56","653","11","8","2","2","9","17","35","80","185","192","106","6"
"Sonora","2.90","72","1","2","0","0","1","0","1","3","3","42","17","2"
"Tabasco","17.78","368","4","5","4","7","25","67","66","99","48","32","9","2"
"Tamaulipas","165.31","5 230","14","0","0","2","22","122","696","1 599","1 518","1 016","235","6"
"Tlaxcala","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","53.47","3 901","19","7","7","21","167","247","400","883","1 034","728","319","69"
"Yucatán","6.80","123","1","2","1","1","0","2","7","21","27","43","16","2"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL GLOBAL","16.43","17 487","133","84","68","133","450","813","1 868","3 835","4 472","3 724","1 589","318"

