"***Canada","Week 52","0","","0","","DEN","0","0","","",""
"United States","Week 52","3","","3","","DEN1","0","0","","",""
"Subtotal ","","3","","3","","","","","","",""
"Belize","Week 52","1,457","452.48","292","90.68","DEN ","87","0","322","5.97","0.00"
"Costa Rica","Week 52","6,946","214.12","0","0.00","DEN 1,2","8","0","3,244","0.00","0.00"
"El Salvador","Week 52","15,040","235.11","7,461","116.63","DEN 1,2,3,4","112","10","6,397","0.74","8.93"
"Guatemala","Week 52","10,438","89.31","1,704","14.58","DEN 2,4","238","28","11,687","0.00","11.76"
"Honduras","Week 52","15,291","232.56","0","0.00","DEN 1, 2","763","14","6,575","4.99","1.83"
"Mexico","Week 52","249,763","232.23","55,363","51.48","DEN 1,2,3,4","11,374","96","110,619","4.55","0.84"
"Nicaragua","Week 52","17,140","329.11","3,100","59.52","DEN 1,2,3","80","11","5,208","0.47","13.75"
"Panama","Week 52","6,811","234.94","4,299","148.29","DEN 1, 3","28","6","2,899","0.41","21.43"
"Subtotal ","","322,886","219.72","72,219","","","12,690","165","146,951","","1.30"
"Bolivia","Week 52","84,047","864.06","7,421","76.29","DEN 1,2,3","198","25","9,727","0.24","12.63"
"Colombia ","Week 52","51,543","224.70","28,503","124.26","DEN 1,2,3,4","7,131","44","22,939","13.84","0.62"
"Ecuador","Week 43","4,489","33.48","650","4.85","DEN 1,4","89","1","13,408","1.98","1.12"
"Peru","Week 52","8,813","31.50","6,495","23.21","DEN 1,2,3,4","12","1","27,980","0.14","8.33"
"Venezuela","Week 52","65,869","232.06","5,282","18.61","DEN 1,2,3,4","5,149","0","28,384","7.82","0.00"
"Subtotal ","","214,761","209.65","48,351","","","12,579","71","102,438","","0.56"
"Argentina","Week 52","26,612","71.06","744","1.99","DEN 1","6","5","37,448","0.02","83.33"
"Brazil","Week 52","528,883","276.21","251,519","131.35","DEN 1,2,3","8,223","298","191,481","1.55","3.62"
"hChile ","Week 52","27","0.60","14","0.31","DEN 1,4","0","0","4,537","0.00","0.00"
"Paraguay","Week 52","6,143","109.00","2,201","39.05","DEN 1,3","0","0","5,636","0.00","0.00"
"Uruguay","Week 52","0","0.00","0","0.00","DEN","0","0","3,385","0.00","0.00"
"Subtotal ","","561,665","231.63","8254,47","","","8,229","303","242,487","","3.68"
"f***Cuba ","Week 52","70","0.62","70","0.62","DEN","0","0","11,254","…","…"
"Dominican Republic","Week 52","8,292","97.61","4,779","56.26","DEN 1,2,4","995","52","8,495","12.00","5.23"
"Puerto Rico","Week 52","6,651","168.29","2,171","54.93","DEN1,3,2,4","63","2","3,952","0.95","3.17"
"Subtotal ","","315,01","63.34","7,020","","","1,058","54","23,701","","5.10"
"American Virgin islands","Week 30","0","0.00","0","0.00","DEN","0","0","","0.00","0.00"
"Anguilla*","Week 52","0","0.00","0","0.00","DEN","0","0","12","0.00","0.00"
"Antigua & Barbuda*","Week 20","0","0.00","0","0.00","DEN","0","0","65","0.00","0.00"
"Aruba","Week 09","845","812.50","845","812.50","DEN 1,3","2","0","104","0.24","0.00"
"Bahamas*","Week 52","0","0.00","0","0.00","DEN","0","0","308","0.00","0.00"
"Barbados*","Week 52","55","20.52","2","0.75","DEN 3","1","0","268","0.00","0.00"
"Bermuda*","Week 44","0","0.00","0","0.00","DEN","0","0","63","0.00","0.00"
"British Virgin Islands*","Week 52","65","270.83","3","12.50","DEN 2","0","0","24","0.00","0.00"
"Cayman Islands*","Week 52","0","0.00","0","0.00","DEN","0","0","40","0.00","0.00"
"Curacao*","Week 04","0","0.00","0","0.00","DEN","0","0","217","0.00","0.00"
"Dominica*","Week 52","2","2.82","2","2.82","DEN 3","0","0","71","0.00","0.00"
"French Guiana","Week 52","11,330","5,501.34","4,531","2,200.05","DEN 1,2,4","2","2","206","0.02","100.00"
"Grenada*","Week 52","23","24.47","10","10.64","DEN 2","0","0","94","0.00","0.00"
"Guadaloupe","Week 52","2,234","557.52","430","107.31","DEN 1,3","1","0","401","0.00","0.00"
"Guyana","Week 52","994","130.28","492","64.48","DEN ","1","1","763","0.10","100.00"
"Jamaica*","Week 52","70","2.69","0","0.00","DEN","0","0","2,598","0.00","0.00"
"Martinique","Week 52","1,378","347.10","230","57.93","DEN 1,2,4","1","1","397","0.00","0.00"
"Montserrat*","Week 52","0","0.00","0","0.00","DEN","0","0","8","0.00","0.00"
"St. Bartolome","Week 52","805","9,594.76","393","4,684.15","DEN 1,2","1","0","8","0.00","0.00"
"St. Kitts & Nevis*","Week 52","2","5.26","2","5.26","DEN 3","0","0","38","0.00","0.00"
"St. Lucia","Week 52","18","12.08","3","2.01","DEN 3","0","0","149","0.00","0.00"
"St. Martin","Week 52","1,698","4,757.64","305","854.58","DEN 1,2,4","0","1","36","0.00","0.00"
"St. Vincent & the Grenadines","Week 52","10","8.77","3","2.63","DEN","0","0","114","0.00","0.00"
"Suriname ","Week 40","120","29.27","28","6.83","DEN 4","69","0","410","57.50","0.00"
"Trinidad & Tobago*","Week 52","24","1.85","24","1.85","DEN 2","0","0","1,300","0.00","0.00"
"Turks & Caicos Islands*","Week 52","0","0.00","0","0.00","DEN","0","0","17","0.00","0.00"
"Subtotal ","","19,673","247.90","7,303","","","78","5","7,936","","6.41"
"TOTAL","","        1,134,001","216.61","389,374","","","         34,634","                   598","523,513","","1.73"
