"week","X2008.2009","X2009.2010","X2010.2011","X2011.2012","X2012.2013","X2013.2014","X2014.2015","X2015.2016","X2016.2017","X2017.2018"
27,NA,202,0,1,1,0,7,8,1,17
28,NA,247,0,1,3,1,3,9,0,11
29,NA,235,2,0,6,0,7,1,5,11
30,NA,213,0,6,2,3,2,0,2,29
31,NA,193,0,0,1,1,3,5,1,18
32,NA,129,1,0,2,0,2,2,0,11
33,NA,188,1,0,2,1,2,3,5,17
34,NA,52,1,0,0,1,3,2,2,14
35,NA,87,1,0,4,2,8,6,1,5
36,NA,72,2,0,3,0,3,4,5,14
37,NA,96,4,1,4,0,1,6,4,17
38,1,102,2,0,2,2,4,4,8,18
39,0,184,7,2,2,4,3,6,14,23
40,0,300,3,2,1,0,6,4,18,16
41,0,469,5,0,1,2,4,14,13,37
42,1,615,5,2,0,5,3,6,NA,27
43,2,610,4,0,7,4,12,6,NA,31
44,0,735,17,2,0,13,5,3,NA,67
45,0,607,17,4,7,7,14,18,NA,NA
46,0,410,18,3,6,8,16,16,NA,NA
47,1,228,12,1,1,27,17,9,NA,NA
48,1,175,33,9,15,41,17,12,NA,NA
49,4,149,46,12,20,81,45,35,NA,NA
50,1,100,130,5,17,154,79,23,NA,NA
51,1,58,103,11,30,361,127,41,NA,NA
52,8,71,122,27,81,704,213,64,NA,NA
53,9.5,60,114.5,34,111.5,647,302,84.5,NA,NA
1,11,49,107,41,142,590,605,105,NA,NA
2,18,21,208,40,317,609,985,147,NA,NA
3,19,30,161,84,503,468,706,181,NA,NA
4,32,14,288,80,926,297,853,192,NA,NA
5,56,8,311,119,857,199,797,266,NA,NA
6,63,11,273,133,834,80,644,599,NA,NA
7,100,10,489,158,448,74,353,863,NA,NA
8,137,3,319,127,287,38,275,967,NA,NA
9,87,1,207,90,272,29,129,847,NA,NA
10,56,1,279,149,257,32,149,482,NA,NA
11,66,3,99,176,116,15,143,395,NA,NA
12,39,2,109,130,126,18,81,288,NA,NA
13,40,2,28,110,58,17,60,154,NA,NA
14,15,2,43,56,24,30,27,117,NA,NA
15,17,1,11,45,12,23,NA,85,NA,NA
16,47,0,11,44,NA,NA,NA,135,NA,NA
17,178,0,5,13,NA,NA,NA,NA,NA,NA
18,122,2,6,25,NA,NA,NA,NA,NA,NA
19,80,1,0,10,NA,NA,NA,NA,NA,NA
20,82,1,4,8,NA,NA,NA,NA,NA,NA
21,53,1,0,5,NA,NA,NA,NA,NA,NA
22,74,1,1,2,NA,NA,NA,NA,NA,NA
23,66,1,0,7,NA,NA,NA,NA,NA,NA
24,169,0,0,3,NA,NA,NA,NA,NA,NA
25,231,0,0,6,NA,NA,NA,NA,NA,NA
26,215,0,0,4,NA,NA,NA,NA,NA,NA
